num_clients,avg_set_rt_ms,set_rt_ms_25,set_rt_ms_50,set_rt_ms_75,set_rt_ms_90,set_rt_ms_99,conf_set_rt_ms,avg_set_tp_s,max_set_tp_s,conf_set_tp_s,avg_interactive_set_rt_ms,avg_set_think_time,conf_interactive_set_rt_ms,avg_set_time_in_queue_ms,conf_set_time_in_queue_ms,avg_get_rt_ms,get_rt_ms_25,get_rt_ms_50,get_rt_ms_75,get_rt_ms_90,get_rt_ms_99,conf_get_rt_ms,avg_get_tp_s,max_get_tp_s,conf_get_tp_s,avg_interactive_get_rt_ms,avg_get_think_time,conf_interactive_get_rt_ms,avg_queue_length,conf_queue_length,avg_get_service_time_ms,conf_get_service_time_ms,avg_set_service_time_ms,conf_set_service_time_ms,avg_get_time_in_queue_ms,conf_get_time_in_queue_ms,miss_rate,num_workers
96,5.530822349244364,1.906005,6.112213499999999,8.630534,9.534926,12.014434719999997,0.007391132157761207,14958.516129032258,17380,182.64607334616883,3.193280580239472,1.5593855296224268e-05,0,1.5279331876695554,0.003406980176385621,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0632872129516615,0.006642836098530609,0,0,3.882023804921423,0.0070026863723520105,0,0,0,32
144,8.45593279893993,5.5677875,9.478171,10.520123,11.514287,16.461635140000002,0.00715234029317338,14999.930107526881,17885,181.768026615394,4.784353112541743,1.5669253153867744e-05,0,4.24922435495936,0.004017516098387187,0,0,0,0,0,0,0,0,0,0,0,0,0,23.049001303590302,0.01053246092018793,0,0,4.084872511064027,0.007034975187787339,0,0,0,32
192,11.682520807944837,10.43514875,11.352442,12.480026,14.934335000000003,21.04068208000001,0.0055185809808385835,15248.698924731183,17689,102.70399105365506,6.279610885277714,1.600820156135303e-05,0,7.464302551167068,0.004056274437711575,0,0,0,0,0,0,0,0,0,0,0,0,0,47.26967997974796,0.01080324204193715,0,0,4.09854358185856,0.005603594173249489,0,0,0,32
240,14.394164450137744,11.927433,13.275,17.659832,20.2059944,23.765988999999998,0.0073742324336886,14964.069892473119,17874,226.41863533495462,8.002986813865975,1.6221921610438202e-05,0,10.205572686539469,0.003958967498661932,0,0,0,0,0,0,0,0,0,0,0,0,0,68.70656414630457,0.015488069595258494,0,0,4.063925592463593,0.006560485123740255,0,0,0,32
6,1.1070257578539258,0.659702,0.890802,1.251312,1.7418034,3.97613268,0.009176160798044265,3028.5860215053763,3726,49.54479975950485,0.9759098910240593,1.4651373770008726e-05,0,0.07114130823497251,0.001345001744476533,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19760632113002094,0.0011494247817974014,0,0,0.9148500578235704,0.009029580496387574,0,0,0,64
12,1.0662396567947072,0.637305,0.848003,1.18231,1.684813,5.469466369999997,0.001664296550097198,6450.1505376344085,7255,35.02254322762771,0.9139825849717603,1.6228262820405953e-05,0,0.09515893782257318,0.0004961996404764182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6464965392155555,0.0015645005922557168,0,0,0.8550886324750276,0.0015552763068502947,0,0,0,64
24,1.93941476361083,0.701502,0.965708,1.545212,6.968860499999999,8.55170934,0.0035284838129786074,8912.494623655914,9897,48.5742900386239,1.3310562047391485,1.5368169885336758e-05,0,0.13019611517598825,0.0005380940223522522,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3133633825654933,0.002502480643311561,0,0,1.6972898889266244,0.0034622716001582086,0,0,0,64
48,3.2092528855489957,0.912602,1.343312,6.9291535,8.010621,9.529725059999999,0.00731948596097736,12024.725806451614,14708,135.5791511535817,1.9806472693205175,1.5240236665133098e-05,0,0.19764772144000795,0.0006929604898499255,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7446104554280852,0.004388219333087938,0,0,2.8961092707794296,0.007263691945807073,0,0,0,64
96,5.3407378614886785,1.661415,6.541218,8.57452425,9.435783,11.492426110000002,0.004140481618103317,15543.118279569893,16920,47.321923811509144,3.0724843993670055,1.569900994873782e-05,0,0.31944905642645144,0.0008296862558059478,0,0,0,0,0,0,0,0,0,0,0,0,0,5.241696356303311,0.007398573628962985,0,0,4.9006087269780165,0.004026398592793876,0,0,0,64
144,7.500163994273059,4.612317,8.748719,9.560028,10.481579400000001,14.742802439999972,0.00765085916732616,16836.112903225807,19403,158.68812058771402,4.260274775531475,1.6246795323799935e-05,0,0.9210406608305172,0.002138405870666432,0,0,0,0,0,0,0,0,0,0,0,0,0,7.688837710285462,0.01038647586837771,0,0,6.451301620364184,0.007693023289982057,0,0,0,64
192,9.299332917604914,8.404029,9.448621,10.323023,12.066415200000002,19.097157,0.007513992310977023,17290.34946236559,19950,242.9878662572575,5.536014558987626,1.621561478387006e-05,0,2.450220941743561,0.0039656976573451625,0,0,0,0,0,0,0,0,0,0,0,0,0,12.397817789462392,0.011661158253682411,0,0,6.715651714894407,0.007268944657287193,0,0,0,64
240,11.743110658446126,9.692222,10.671923,13.2232075,18.046145,21.28096847,0.004248808064653508,17873.752688172044,18657,38.829156127216756,6.697238829379176,1.651636761479408e-05,0,4.713000413018969,0.003976808223219844,0,0,0,0,0,0,0,0,0,0,0,0,0,29.927934816415494,0.015058530248831983,0,0,6.894831938456342,0.004013501607775132,0,0,0,64
288,15.130822981005675,11.08763,14.775018,18.774951,20.288755,27.595199360000002,0.0073708873086089305,17630.90860215054,20494,122.39281096977902,8.150065463025435,1.7409240033006562e-05,0,7.821488571918081,0.00377729971596697,0,0,0,0,0,0,0,0,0,0,0,0,0,54.441604111059846,0.015961515635904866,0,0,7.172893445271913,0.006733243627375933,0,0,0,64
